City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Clyde River,1,CA,1551060000,74,70.47,-68.59,-23.81,14.99
Dikson,48,RU,1551061857,79,73.51,80.55,-4.96,11.54
Nadym,80,RU,1551061898,75,65.53,72.51,7.33,6.96
Arraial do Cabo,48,BR,1551061899,87,-22.97,-42.02,80.19,7.63
Nikolskoye,75,RU,1551060000,74,59.7,30.79,37.4,15.66
Dzerzhinskoye,20,RU,1551061899,65,56.84,95.22,23.71,7.74
Ponta do Sol,36,BR,1551061900,86,-20.63,-46.0,68.08,5.17
Longyearbyen,75,NO,1551059400,64,78.22,15.63,-0.41,12.75
Yetkul,40,RU,1551060000,66,54.83,61.59,15.8,11.18
Isangel,12,VU,1551061900,99,-19.55,169.27,82.35,15.79
Birao,88,CF,1551061901,83,10.3,22.78,72.22,4.16
Nouadhibou,0,MR,1551060000,48,20.93,-17.03,64.4,12.75
Sinnamary,100,GF,1551061857,95,5.38,-52.96,78.88,12.44
Coari,0,BR,1551061901,95,-4.09,-63.14,76.23,2.71
Khatanga,56,RU,1551061758,56,71.98,102.47,-11.89,5.17
Saldanha,0,PT,1551061838,76,41.42,-6.55,31.05,2.93
Plaeng Yao,40,TH,1551060000,79,13.58,101.28,84.2,9.17
Greencastle,1,US,1551060900,63,39.64,-86.86,30.2,6.93
Saint George,90,GR,1551059400,43,39.45,22.34,35.6,11.41
Vostok,68,RU,1551061903,63,46.45,135.83,20.7,5.17
Kaolinovo,0,BG,1551061903,65,43.62,27.12,13.0,4.72
Geraldton,90,CA,1551060000,78,49.72,-86.95,10.4,24.16
Tuburan,40,PH,1551060000,65,10.73,123.82,82.4,10.29
Namibe,80,AO,1551061889,100,-15.19,12.15,74.65,3.04
Esperance,40,TT,1551060000,94,10.24,-61.45,73.4,4.61
Kruisfontein,0,ZA,1551061845,88,-34.0,24.73,59.31,2.71
New Norfolk,0,AU,1551060000,16,-42.78,147.06,86.0,8.05
Gisborne,100,NZ,1551061904,80,-38.66,178.02,61.2,21.27
Kaitangata,20,NZ,1551061905,55,-46.28,169.85,61.87,9.98
Bayir,75,TR,1551059400,93,37.27,28.22,50.0,5.82
Madisonville,1,US,1551060900,38,37.33,-87.5,41.0,11.99
Iqaluit,5,CA,1551060000,68,63.75,-68.52,-18.41,9.17
Georgetown,20,GY,1551060000,94,6.8,-58.16,78.8,4.7
Lavrentiya,24,RU,1551061873,84,65.58,-170.99,29.83,35.81
Sfantu Gheorghe,0,RO,1551060000,92,44.65,26.83,24.8,5.82
Lebu,40,ET,1551060000,76,8.96,38.73,57.2,2.24
Saint Anthony,90,US,1551059760,64,43.97,-111.68,33.8,14.99
Morro Bay,1,US,1551059760,76,35.37,-120.85,60.8,11.41
Tripoli,44,GR,1551059400,56,37.51,22.37,42.8,11.41
Umea,0,SE,1551059400,56,63.83,20.26,42.8,23.04
Antigonish,90,CA,1551060000,73,45.62,-61.99,21.2,19.46
Mahebourg,40,MU,1551060000,83,-20.41,57.7,80.6,9.17
Ust-Nera,0,RU,1551061908,48,64.57,143.24,-32.23,2.37
Huarmey,24,PE,1551061908,89,-10.07,-78.15,67.95,2.71
Deputatskiy,20,RU,1551061909,45,69.3,139.9,-29.71,2.71
Emerald,0,AU,1551060000,33,-23.53,148.16,86.0,12.75
Manzanillo,0,CU,1551061909,100,20.34,-77.12,79.11,7.96
Bandarbeyla,92,SO,1551061909,100,9.49,50.81,77.71,15.46
Corbelia,40,BR,1551056400,78,-24.8,-53.31,75.2,11.41
Paracuru,20,BR,1551060000,88,-3.41,-39.03,77.0,4.7
Nhulunbuy,20,AU,1551060000,52,-12.18,136.78,89.6,9.17
Luau,44,CD,1551061911,97,-10.7,22.23,63.85,2.15
Tamiahua,88,MX,1551061901,99,21.28,-97.45,67.18,16.02
Klaksvik,48,FO,1551061200,93,62.23,-6.59,48.2,13.87
Srikakulam,0,IN,1551061912,100,18.29,83.89,78.07,2.59
Tadine,68,NC,1551061912,87,-21.55,167.88,83.7,14.45
San Cristobal,90,EC,1551060000,100,-0.39,-78.55,55.4,2.24
Atar,0,MR,1551061913,27,20.52,-13.05,57.37,8.19
Daru,0,SL,1551061913,78,7.99,-10.85,74.47,7.07
Tingi,76,TZ,1551061913,100,-11.3,35.03,74.88,3.94
Yellowknife,40,CA,1551060000,68,62.45,-114.38,-16.61,2.24
Itirapina,0,BR,1551060000,100,-22.26,-47.82,69.8,2.24
Padang,20,ID,1551060000,74,-0.92,100.36,86.0,2.24
Juba,0,EE,1551059400,88,57.82,26.93,35.6,17.22
Guatire,40,VE,1551060000,94,10.47,-66.54,78.8,4.7
Ribeira Grande,0,PT,1551061915,100,38.52,-28.7,58.5,17.13
Vanavara,80,RU,1551061915,75,60.35,102.28,24.84,10.2
East London,68,ZA,1551061915,100,-33.02,27.91,71.32,10.42
Takoradi,44,GH,1551061916,100,4.89,-1.75,81.85,10.65
Scarborough,90,GB,1551059400,93,54.28,-0.41,42.8,1.12
Havre-Saint-Pierre,75,CA,1551060000,72,50.23,-63.6,10.4,9.17
Northam,20,GB,1551059400,74,51.04,-4.21,37.4,6.93
Coahuayana,12,MX,1551061917,59,18.62,-100.35,67.86,2.37
Coos Bay,90,US,1551060600,100,43.37,-124.22,37.4,3.36
Yashkul,36,RU,1551061917,82,46.17,45.34,16.56,7.96
Boyabat,80,TR,1551061917,89,41.47,34.77,30.73,2.93
Yarovoye,64,RU,1551061917,82,52.92,78.56,14.58,9.64
Severo-Yeniseyskiy,48,RU,1551061918,62,60.37,93.04,18.45,8.75
Inta,88,RU,1551061918,89,66.04,60.13,23.08,4.94
Tual,48,ID,1551061640,95,-5.67,132.75,85.5,5.28
Etchoropo,24,MX,1551061645,56,26.77,-109.67,61.51,11.21
Pevek,80,RU,1551061918,79,69.7,170.27,-1.85,29.77
Soro,0,NG,1551061919,42,11.71,7.41,64.8,6.73
Villarrobledo,0,ES,1551061919,83,39.27,-2.6,29.56,4.61
Lavumisa,76,ZA,1551061919,99,-27.31,31.88,68.26,2.93
Nador,20,MA,1551060000,71,35.17,-2.93,57.2,8.05
Martinsville,1,US,1551060600,36,36.69,-79.87,50.0,4.7
Tazovskiy,88,RU,1551061920,65,67.47,78.7,-4.69,10.76
Codrington,75,AU,1551060000,73,-28.95,153.24,77.0,14.99
Mount Gambier,12,AU,1551056400,15,-37.83,140.78,91.4,17.22
Sao Joao da Barra,20,BR,1551061921,95,-21.64,-41.05,83.38,14.67
Svetlogorsk,40,RU,1551060000,66,53.14,59.15,10.4,13.42
Hasaki,75,JP,1551060600,62,35.73,140.83,55.4,4.7
Kaoma,0,ZM,1551061922,86,-14.8,24.8,61.42,2.93
Palmer,0,AU,1551060000,16,-34.85,139.16,91.4,16.11
Rodrigues Alves,0,BR,1551060000,94,-7.74,-72.65,77.0,3.83
Belmonte,0,PT,1551061923,75,40.36,-7.35,34.74,2.26
Ustka,80,PL,1551061923,90,54.58,16.86,38.47,13.0
Catio,0,GW,1551061923,90,11.28,-15.25,66.91,0.92
Kasempa,0,ZM,1551061923,87,-13.46,25.83,59.4,2.59
Embu,12,KE,1551061924,100,-0.54,37.46,58.45,2.82
Nyurba,8,RU,1551061924,78,63.29,118.35,4.05,5.95
Oranjemund,24,ZA,1551061924,95,-28.55,16.43,62.86,15.68
San Patricio,88,PY,1551061769,98,-26.98,-56.83,72.22,5.06
Ilulissat,44,GL,1551059400,66,69.22,-51.1,10.4,4.7
Launceston,12,AU,1551060000,41,-41.43,147.14,75.2,17.22
Bratsk,8,RU,1551060000,67,56.15,101.63,21.2,4.47
Luderitz,0,NA,1551061799,71,-26.65,15.16,63.9,13.22
Oeiras,64,BR,1551061926,92,-7.01,-42.13,74.34,4.16
Salinas,1,US,1551060900,76,36.67,-121.66,53.6,11.41
Mingyue,0,CN,1551061927,22,43.11,128.91,32.98,6.96
Bhimunipatnam,0,IN,1551060000,73,17.88,83.43,75.2,2.24
Panalingaan,0,PH,1551061927,68,8.78,117.42,84.55,7.85
Mmabatho,8,ZA,1551060000,42,-25.85,25.61,62.6,3.36
Tucuman,8,PE,1551061657,84,-17.17,-70.89,59.58,1.81
Iskateley,88,RU,1551061928,93,67.68,53.15,28.98,15.79
Abu Dhabi,88,AE,1551060000,82,24.47,54.37,68.0,1.12
Lompoc,1,US,1551060900,81,34.64,-120.46,55.4,9.17
Landsberg,0,DE,1551059400,69,51.53,12.16,33.8,6.93
Ejura,0,GH,1551061928,74,7.38,-1.37,77.53,9.42
Farafangana,64,MG,1551061929,100,-22.82,47.83,75.6,3.15
Fairbanks,1,US,1551059880,56,64.84,-147.72,17.6,0.81
College,1,US,1551059880,56,64.86,-147.8,19.4,0.81
Sao Filipe,0,CV,1551061930,90,14.9,-24.5,72.4,12.21
Awjilah,12,LY,1551061930,68,29.14,21.3,42.61,9.42
Lyubinskiy,0,RU,1551060000,84,55.15,72.69,-0.41,6.71
Bambanglipuro,24,ID,1551061930,97,-7.95,110.28,82.98,4.16
Wichita Falls,1,US,1551060900,39,33.91,-98.49,46.4,6.93
Thompson,5,CA,1551060000,61,55.74,-97.86,-20.21,4.7
Kodiak,1,US,1551060900,51,39.95,-94.76,17.6,6.93
Cherskiy,76,RU,1551061931,76,68.75,161.3,-12.29,10.31
Provideniya,75,RU,1551060000,83,64.42,-173.23,32.0,22.37
Ust-Maya,48,RU,1551061932,62,60.42,134.54,-8.38,1.36
Ligayan,76,PH,1551061932,100,4.65,119.47,80.95,10.98
Miles City,90,US,1551059580,77,46.41,-105.84,-2.21,11.41
Pangnirtung,0,CA,1551061933,39,66.15,-65.72,-26.24,3.27
Matagami,24,NG,1551061933,97,9.67,8.4,64.66,3.94
Cirie,0,IT,1551059400,80,45.24,7.6,33.8,2.24
Ketchikan,1,US,1551059580,24,55.34,-131.65,35.6,8.05
Cayenne,92,GF,1551060000,74,4.94,-52.33,78.8,6.93
Moranbah,0,AU,1551061934,42,-22.0,148.04,87.97,14.0
Baherden,0,TM,1551061904,80,38.44,57.43,32.53,3.15
Ancud,0,CL,1551060000,81,-41.87,-73.83,44.6,6.93
Egvekinot,36,RU,1551061934,75,66.32,-179.17,15.48,15.68
Mehamn,92,NO,1551061935,92,71.03,27.85,35.91,16.24
Chuy,92,UY,1551061935,87,-33.69,-53.46,66.46,5.17
Tomatlan,48,MX,1551061779,87,19.93,-105.25,67.81,2.15
Nizhniy Tsasuchey,0,RU,1551061935,44,50.52,115.13,30.91,8.19
San,0,ML,1551061935,52,13.3,-4.9,57.6,5.39
Iquitos,0,PE,1551060000,94,-3.75,-73.25,75.2,3.49
Zhangjiakou,76,CN,1551061936,69,40.77,114.88,29.11,3.94
Henties Bay,48,NA,1551061936,95,-22.12,14.28,66.73,6.29
Mahon,75,IE,1551060000,100,51.89,-8.4,46.4,11.41
Mumford,36,GH,1551061936,90,5.26,-0.76,79.33,9.08
Ayolas,92,PY,1551061937,99,-27.39,-56.84,72.36,12.66
Yar-Sale,48,RU,1551061797,72,66.83,70.83,0.27,2.93
Buraydah,0,SA,1551060000,76,26.33,43.97,51.8,5.82
Cavalcante,0,BR,1551061937,93,-13.79,-47.46,66.46,2.48
Port Lincoln,0,AU,1551061938,56,-34.72,135.86,83.7,3.83
Marsh Harbour,0,BS,1551061938,100,26.54,-77.06,75.33,9.42
Bonavista,0,CA,1551061872,95,48.65,-53.11,6.66,11.21
Touros,40,BR,1551060000,94,-5.2,-35.46,78.8,2.24
Nishihara,75,JP,1551060600,50,35.74,139.53,53.6,8.05
Saint-Leu,0,RE,1551060000,69,-21.15,55.28,78.8,5.82
Isla Vista,1,US,1551060900,87,34.41,-119.86,55.4,5.82
Jammu,20,IN,1551060000,81,32.72,74.86,48.2,2.93
Moree,0,AU,1551060000,26,-29.46,149.84,84.2,12.75
Ilebo,20,CD,1551061940,89,-4.33,20.59,73.21,2.04
Heihe,0,RU,1551060000,38,50.24,127.51,23.0,4.47
Saskylakh,68,RU,1551061779,60,71.97,114.09,-7.48,5.39
Novyye Burasy,75,RU,1551060000,79,52.13,46.08,19.4,4.47
Pacifica,90,US,1551060900,58,37.61,-122.49,53.6,8.05
Dillon,90,US,1551059580,84,45.22,-112.64,3.2,12.75
Dafeng,48,CN,1551061941,87,33.2,120.46,48.46,4.94
Paracatu,36,BR,1551061941,79,-17.22,-46.87,75.06,3.71
Palana,64,RU,1551061941,62,59.08,159.95,3.1,3.94
Shimoda,75,JP,1551060000,77,34.7,138.93,59.0,12.75
Nandgaon,0,IN,1551061942,51,20.31,74.66,66.82,2.93
Malanje,12,AO,1551061942,92,-9.54,16.35,61.2,2.37
Hami,0,CN,1551061943,63,42.84,93.51,28.53,7.74
La Serena,0,CL,1551060000,87,-29.9,-71.25,60.8,2.24
Nexo,90,DK,1551059400,100,55.06,15.13,37.4,11.41
Keuruu,0,FI,1551059400,64,62.26,24.71,39.2,20.8
Paamiut,68,GL,1551061943,100,61.99,-49.67,24.97,35.14
Vidim,0,CZ,1551060000,63,50.47,14.53,33.8,9.17
Port Moresby,40,PG,1551060000,59,-9.47,147.16,91.4,17.22
Tabou,0,CI,1551061772,97,4.42,-7.36,82.71,13.78
Omboue,44,GA,1551061945,100,-1.57,9.26,82.3,6.73
Uttaradit,12,TH,1551060000,83,17.63,100.1,75.2,2.24
Amahai,48,ID,1551061945,98,-3.31,129.0,84.73,2.37
Champerico,5,MX,1551058800,69,16.38,-93.6,77.0,16.11
Nanlong,20,CN,1551061946,100,31.35,106.05,51.52,4.38
Kailua,40,US,1551059820,78,21.39,-157.74,80.6,9.17
Carmen,0,PH,1551061946,45,7.2,124.8,89.86,4.27
Imeni Poliny Osipenko,20,RU,1551061946,63,52.42,136.49,15.52,3.94
Turbat,0,PK,1551061947,83,26.0,63.05,51.52,2.93
Onega,92,RU,1551061947,92,63.91,38.09,34.42,16.02
Cidreira,100,BR,1551061947,100,-30.17,-50.22,70.11,1.48
Pa Sang,0,TH,1551060000,53,18.53,98.94,77.0,3.83
Elk,0,PL,1551061948,89,53.83,22.36,32.17,10.87
Akureyri,0,IS,1551060000,60,65.68,-18.09,42.8,12.75
Ust-Kuyga,48,RU,1551061948,33,70.0,135.55,-23.5,4.16
Agadez,8,NE,1551061949,41,16.97,7.99,50.04,2.15
Koson,0,UZ,1551060000,86,39.04,65.59,33.8,6.93
Puerto del Rosario,0,ES,1551060000,82,28.5,-13.86,62.6,6.93
Jumla,80,NP,1551061949,92,29.28,82.18,23.4,1.59
Kingaroy,90,AU,1551060000,47,-26.54,151.84,77.0,12.75
Mombaca,56,BR,1551061950,94,-5.74,-39.63,68.35,2.82
Mitzic,56,GA,1551061950,90,0.78,11.55,73.08,2.37
Kenai,1,US,1551059760,57,60.55,-151.26,30.2,9.17
Brindisi,0,IT,1551059700,49,40.63,17.94,46.4,28.86
Verkhnevilyuysk,8,RU,1551061951,66,63.45,120.31,2.34,5.06
Hofn,12,IS,1551061815,93,64.25,-15.21,42.25,20.27
Beloha,0,MG,1551061951,90,-25.17,45.06,69.75,2.37
Esfarayen,75,IR,1551060000,92,37.08,57.51,30.2,0.92
Erice,20,IT,1551059700,76,38.04,12.59,50.0,5.82
Adre,24,TD,1551061952,69,13.47,22.2,70.78,6.62
Kalininsk,68,RU,1551061952,86,51.5,44.48,13.18,8.97
Sahuaripa,0,MX,1551061952,70,29.05,-109.23,48.01,1.7
Ranfurly,0,CA,1551061953,32,53.41,-111.68,-23.45,3.15
Holden,90,US,1551061020,93,42.35,-71.86,42.8,20.8
Tahe,32,CN,1551061953,53,52.34,124.71,21.96,3.94
Komsomolskiy,88,RU,1551061953,80,67.55,63.78,15.84,8.75
Nguruka,20,TZ,1551061954,93,-5.11,31.04,63.63,1.92
Tonota,8,BW,1551061954,51,-21.44,27.46,74.88,12.33
Sorland,92,NO,1551061954,96,67.67,12.69,41.71,29.21
Uusikaupunki,0,FI,1551061200,60,60.8,21.41,41.0,19.46
Kazuno,75,JP,1551060000,61,40.2,140.83,48.2,12.75
Capoeiras,12,BR,1551061955,90,-8.74,-36.63,70.33,5.95
Pitimbu,40,BR,1551060000,88,-7.47,-34.81,78.8,3.36
Talnakh,80,RU,1551061796,73,69.49,88.39,5.26,7.74
Pisco,75,PE,1551060000,83,-13.71,-76.2,75.2,1.12
Sabha,36,LY,1551061956,77,27.03,14.43,44.46,10.09
Faanui,76,PF,1551061956,98,-16.48,-151.75,83.92,8.19
Fukue,75,JP,1551060000,66,35.03,136.69,55.4,6.93
Lagoa,0,PT,1551060000,76,37.14,-8.45,57.2,11.41
Kasongo-Lunda,32,CD,1551061957,93,-6.48,16.82,66.37,1.59
Sobolevo,44,RU,1551061957,92,54.43,31.9,35.01,14.23
Davila,20,PH,1551060000,65,18.47,120.58,82.4,2.24
Tanout,0,NE,1551061958,39,14.97,8.88,58.14,2.37
Ballina,80,IE,1551061958,89,54.11,-9.15,50.98,11.99
San Rafael,8,AR,1551061959,17,-34.61,-68.33,64.3,8.63
Chumikan,44,RU,1551061959,55,54.72,135.31,14.35,8.97
Guerrero Negro,0,MX,1551061847,77,27.97,-114.04,55.71,13.11
Ixtapa,40,MX,1551059220,88,20.71,-105.21,69.8,1.81
Creel,56,MX,1551061960,34,27.75,-107.63,41.08,3.15
Pedernales,80,EC,1551061960,98,0.07,-80.05,72.09,2.93
Polovinnoye,64,RU,1551061960,77,54.79,65.99,10.71,10.65
Tura,0,IN,1551061961,70,25.52,90.21,66.33,3.15
Areosa,0,PT,1551060000,62,41.72,-8.86,55.4,10.29
San Juan,40,PH,1551060000,65,14.6,121.03,82.4,6.93
Aksha,0,RU,1551061962,46,50.28,113.29,30.51,9.19
Sheridan,1,US,1551061080,55,39.65,-105.03,35.6,4.7
Batiano,0,PH,1551061962,67,11.41,122.58,80.41,5.73
Vad,0,RO,1551061963,62,45.79,25.15,-1.45,1.59
Conde,64,BR,1551061963,93,-11.81,-37.61,79.6,8.52
Sann,0,PK,1551060000,82,26.04,68.14,55.4,4.7
Alta Gracia,0,AR,1551060000,93,-31.66,-64.43,64.4,5.82
Huilong,44,CN,1551061964,90,28.89,110.18,44.73,3.15
Akita,75,JP,1551060000,66,39.72,140.1,48.2,8.05
Umm Kaddadah,36,SD,1551061964,34,13.6,26.69,66.73,2.82
Chokurdakh,0,RU,1551061965,0,70.62,147.9,-31.6,7.96
Zhuhai,20,CN,1551060000,31,40.71,112.04,33.8,13.42
Kungurtug,0,RU,1551061965,66,50.6,97.53,5.49,2.71
Katsuura,20,JP,1551060000,58,33.93,134.5,53.6,11.41
Amapa,20,HN,1551060000,88,15.09,-87.97,78.8,8.05
Tatarsk,76,RU,1551061966,81,55.22,75.96,7.83,11.77
Hokitika,0,NZ,1551061966,82,-42.72,170.96,61.42,9.75
Nuuk,76,GL,1551059400,78,64.17,-51.74,17.6,11.41
Somerset West,20,ZA,1551060000,100,-34.08,18.85,64.4,8.05
Stralsund,40,DE,1551057600,80,54.31,13.08,35.6,5.82
Half Moon Bay,90,US,1551059760,58,37.46,-122.43,53.6,8.05
Nioro,0,GM,1551061967,36,13.79,-15.05,64.57,6.17
Axim,68,GH,1551061968,100,4.87,-2.24,82.26,13.11
Great Falls,90,US,1551060120,91,47.5,-111.29,-7.61,8.05
Udachnyy,36,RU,1551061968,74,66.42,112.4,-0.91,5.61
Naliya,0,IN,1551061968,91,23.26,68.83,62.73,3.6
Zamora,0,ES,1551060000,90,41.51,-5.74,32.0,2.24
Itarema,88,BR,1551061969,97,-2.92,-39.92,75.28,2.82
Riyadh,0,SA,1551060000,76,24.63,46.72,57.2,6.93
Vung Tau,0,VN,1551061962,86,10.35,107.08,82.21,21.16
Praia da Vitoria,20,PT,1551060000,81,38.73,-27.07,48.2,19.71
Dogondoutchi,0,NE,1551061970,28,13.64,4.03,62.41,10.54
Viedma,0,AR,1551061782,51,-40.81,-62.99,54.22,19.37
Lubao,75,PH,1551060000,65,14.94,120.6,84.2,9.17
Ostrovnoy,92,RU,1551061970,96,68.05,39.51,33.21,14.23
Majene,12,ID,1551061971,93,-3.54,118.97,84.15,2.93
Chibombo,32,ZM,1551061971,76,-14.68,28.09,58.81,2.82
Ko Samui,20,TH,1551060000,74,9.54,99.94,84.2,9.17
Kavaratti,0,IN,1551061775,100,10.57,72.64,80.95,2.37
Somerset,1,US,1551060900,41,37.09,-84.6,42.8,6.93
Kavieng,8,PG,1551061787,100,-2.57,150.8,83.38,7.52
Constitucion,40,MX,1551059100,6,23.99,-104.67,66.2,11.41
Timbiqui,88,CO,1551061972,96,2.77,-77.67,74.34,2.71
Port Elizabeth,1,US,1551059820,49,39.31,-74.98,50.0,28.86
Tautira,75,PF,1551060000,66,-17.73,-149.15,87.8,11.41
Cahir,24,IE,1551061973,93,52.37,-7.93,46.12,4.72
Zheleznodorozhnyy,75,RU,1551060000,92,55.75,38.0,32.0,8.95
Kawalu,0,ID,1551061974,79,-7.38,108.21,79.15,2.59
Araouane,0,ML,1551061974,33,18.9,-3.53,52.11,9.86
Comodoro Rivadavia,40,AR,1551060000,39,-45.87,-67.48,48.2,5.82
